size,miliseconds
410,320371
410,314803
410,295461
410,295746
410,315983
410,308879
410,293361
410,337609
410,300320
410,299095
410,296193
410,342765
410,320861
410,316642
410,309144
410,318721
410,297220
410,292542
410,309300
410,301597
410,329837
410,296122
410,298661
410,317517
410,378989
410,380141
410,359807
410,372464
410,359499
410,513860
410,360043
410,311090
410,312819
410,294423
410,294142
410,297084
410,288865
410,351983
410,321064
410,290352
410,288746
410,300350
410,296330
410,300552
410,299983
410,296394
410,295998
410,300061
410,293976
410,304369
410,300525
410,319456
410,285245
410,292072
410,368139
410,312053
410,340207
410,312082
410,526092
410,314766
410,317005
410,317860
410,292270
410,412228
410,308600
410,315550
410,286909
410,297775
410,284079
410,326842
410,314934
410,304928
410,534923
410,296965
410,404925
410,385129
410,373879
410,361813
410,383661
410,316743
410,308405
410,297467
410,306313
410,322665
410,302572
410,312082
410,294987
410,312397
410,362938
410,489664
410,428214
410,326292
410,295146
410,309881
410,287016
410,300230
410,301319
410,294575
410,295603
410,291541
410,322533
410,292998
410,284855
410,375867
410,341353
410,377565
410,303451
410,295398
410,305762
410,308231
410,292531
410,301622
410,288850
410,302921
410,299426
410,294001
410,284597
410,289703
410,320876
410,375729
410,393233
410,326589
410,291614
410,307586
410,299096
410,293357
410,289072
410,301647
410,304105
410,297612
410,296947
410,302559
410,287863
410,326271
410,369542
410,389226
410,400473
410,292142
410,301919
410,301519
410,291091
410,297426
410,289084
410,313070
410,290292
410,293295
410,264106
410,295343
410,284981
410,289731
410,302091
410,320911
410,311365
410,313725
410,291695
410,288808
410,339557
410,303807
410,306880
410,310978
410,325212
410,555541
410,328352
410,317165
410,301840
410,328012
410,311973
410,296137
410,329342
410,295477
410,336300
410,419893
410,356397
410,464667
410,357935
410,293371
410,295893
410,297090
410,297620
410,289454
410,303941
410,351743
410,287102
410,286113
410,299241
410,285005
410,311386
410,288227
410,282423
410,302531
410,305926
410,303084
410,306850
410,305975
410,305333
410,308794
410,295530
410,331776
410,298181
410,314319
410,309326
410,294171
410,289636
410,294288
410,291421
410,298720
410,304383
410,294007
410,292564
410,294436
410,297230
410,290459
410,306705
410,307328
410,283045
410,306500
410,302720
410,298028
410,312367
410,304256
410,326403
410,283660
410,290355
410,301560
410,291993
410,293491
410,281427
410,295857
410,313080
410,299095
410,287238
410,295394
410,354205
410,317050
410,293693
410,309681
410,290776
410,294611
410,302726
410,289609
410,287329
410,347969
410,332511
410,301820
410,319228
410,298893
410,305259
410,301012
410,283737
410,288382
410,299742
410,302109
410,289401
410,302091
410,297730
410,344823
410,292657
410,304066
410,302890
410,301743
410,282246
410,302173
410,332828
410,308587
410,304006
410,288815
410,305702
410,311611
410,299616
410,285859
410,312669
410,309144
410,306353
410,304824
410,297315
410,341984
410,291317
410,289392
410,305020
410,292997
410,302238
410,300105
410,297374
410,300622
410,315456
410,303488
410,311894
410,302033
410,296137
410,301379
410,303397
410,289499
410,307922
410,301462
410,285730
410,294564
410,300138
410,294336
410,286889
410,288605
410,287765
410,301253
410,299468
410,304423
410,306354
410,291050
410,306397
410,330190
410,288688
410,309821
410,309535
410,294288
410,297838
410,302075
410,302734
410,365878
410,301266
410,308213
410,304853
410,294876
410,341484
410,426241
410,296887
410,295978
410,303767
410,292231
410,294362
410,303524
410,293185
410,407371
410,330436
410,346661
410,314921
410,298578
410,305615
410,296269
410,296127
410,300847
410,421867
410,693165
410,300724
410,312347
410,319116
410,315838
410,310378
410,304069
410,329699
410,352208
410,353130
410,390550
410,353807
410,307937
410,310965
410,324970
410,293873
410,296946
410,314625
410,289018
410,299177
410,302909
410,372735
410,296143
410,299271
410,337256
410,318391
410,294102
410,281408
410,309545
410,333590
410,338066
410,281864
410,295413
410,309478
410,288974
410,305027
410,309787
410,305911
410,288043
410,284491
410,288226
410,308888
410,298918
410,300457
410,296200
410,285071
410,313175
410,308456
410,294626
410,352128
410,303186
410,306194
410,306178
410,296793
410,295105
410,301097
410,337967
410,301502
410,314405
410,319123
410,307818
410,299252
410,296235
410,306255
410,307422
410,342311
410,292458
410,297445
410,313457
410,426939
410,338827
410,431317
410,317771
410,360328
410,468503
410,299010
410,322065
410,294810
410,310174
410,288134
410,361136
410,294590
410,300772
410,335831
410,317186
410,302368
410,297491
410,305694
410,292954
410,294958
410,322472
410,306757
410,299998
410,292046
410,307839
410,292386
410,302273
410,285804
410,300008
410,290770
410,298408
410,324450
410,291019
410,308212
410,303517
410,314662
410,317150
410,302230
410,309818
410,299060
410,313986
410,379206
410,397483
410,307649
410,288536
410,286767
410,306603
410,292396
410,305600
410,290493
410,316349
410,299241
410,305027
410,309649
410,282886
410,308216
410,308178
410,312534
410,294133
410,298332
410,303291
410,292747
410,308928
410,301606
410,301084
410,294766
410,283564
410,304126
410,301008
410,314384
410,313087
410,305755
410,306085
410,294179
410,326902
410,366890
410,299900
410,288630
410,290477
410,307733
410,503548
410,289075
410,297084
410,317017
410,299561
410,296294
410,298674
410,301891
410,541518
410,306044
410,293971
