size,miliseconds
1330,310416
1330,252929
1330,261185
1330,260387
1330,250961
1330,268951
1330,266607
1330,262412
1330,251148
1330,261346
1330,260684
1330,252771
1330,264021
1330,252158
1330,260780
1330,247301
1330,339206
1330,249544
1330,265539
1330,248111
1330,265371
1330,415974
1330,260718
1330,262585
1330,296969
1330,252991
1330,258643
1330,253710
1330,244808
1330,250151
1330,254803
1330,251709
1330,257601
1330,267558
1330,271454
1330,257690
1330,254716
1330,247960
1330,258955
1330,255709
1330,250343
1330,267516
1330,266441
1330,263129
1330,251796
1330,270259
1330,269060
1330,245854
1330,248452
1330,255688
1330,268115
1330,262462
1330,248398
1330,252009
1330,264357
1330,256916
1330,244603
1330,260165
1330,266509
1330,253456
1330,264890
1330,253120
1330,265430
1330,249668
1330,252229
1330,261466
1330,247609
1330,255916
1330,244039
1330,255832
1330,261808
1330,261157
1330,322028
1330,257063
1330,276832
1330,252571
1330,262721
1330,253800
1330,279623
1330,267850
1330,263721
1330,270295
1330,271081
1330,260684
1330,261295
1330,254658
1330,264915
1330,248178
1330,251815
1330,251583
1330,261948
1330,258814
1330,248464
1330,250794
1330,258149
1330,238574
1330,251555
1330,252865
1330,252205
1330,244445
1330,262140
1330,248216
1330,260273
1330,252339
1330,267059
1330,254777
1330,237263
1330,262772
1330,270660
1330,246769
1330,280833
1330,264268
1330,268387
1330,252399
1330,301557
1330,250793
1330,256465
1330,246444
1330,272593
1330,274662
1330,509750
1330,256596
1330,260646
1330,491431
1330,249396
1330,247433
1330,277875
1330,253162
1330,248550
1330,249296
1330,261941
1330,266109
1330,258414
1330,268176
1330,329286
1330,251698
1330,240344
1330,244113
1330,260287
1330,265206
1330,254368
1330,253928
1330,256855
1330,257822
1330,254977
1330,259110
1330,256737
1330,254660
1330,248570
1330,249786
1330,275575
1330,493513
1330,244958
1330,245333
1330,264348
1330,263567
1330,255195
1330,244972
1330,266401
1330,259044
1330,270195
1330,247091
1330,512123
1330,252640
1330,257278
1330,267727
1330,437327
1330,341680
1330,250320
1330,271391
1330,258856
1330,244828
1330,247499
1330,251554
1330,268567
1330,249091
1330,261633
1330,260595
1330,265104
1330,252847
1330,248134
1330,286683
1330,250284
1330,250384
1330,253216
1330,254722
1330,250551
1330,246794
1330,268640
1330,262173
1330,241614
1330,248754
1330,249883
1330,249120
1330,245637
1330,241089
1330,250610
1330,251516
1330,243073
1330,245800
1330,245503
1330,284837
1330,247789
1330,249053
1330,271800
1330,263188
1330,240541
1330,240772
1330,244190
1330,267213
1330,240307
1330,238132
1330,253725
1330,273834
1330,245583
1330,256412
1330,265682
1330,267781
1330,255170
1330,258574
1330,248215
1330,268422
1330,250669
1330,467863
1330,242266
1330,265910
1330,246364
1330,242875
1330,240702
1330,272731
1330,250313
1330,250653
1330,269662
1330,266386
1330,254697
1330,241993
1330,243689
1330,252563
1330,248337
1330,298837
1330,242847
1330,256587
1330,246344
1330,248126
1330,252512
1330,273184
1330,265918
1330,251194
1330,241995
1330,255802
1330,257890
1330,246880
1330,251420
1330,264455
1330,243430
1330,252634
1330,267727
1330,249958
1330,245480
1330,261642
1330,268675
1330,250048
1330,257796
1330,268991
1330,244135
1330,254634
1330,251945
1330,259689
1330,258257
1330,260526
1330,250499
1330,288794
1330,258311
1330,282052
1330,246634
1330,273240
1330,273375
1330,323518
1330,255303
1330,263113
1330,263192
1330,248809
1330,240817
1330,261314
